first of all the movie is too short to relay the entire jane eyre novel	3	1
audio is presented in dolby digital 5	5	1
a psychological drama in his mind that continues to evolve until finally lawrence abandons the	5	0
gerard butler 's leonidas is a vastly superior hero to henry cavill 's <unk> and	1	0
well made film	5	1
and over-rated sadly acted ( except for the japanese actors - all wonderful	2	1
the plot had strong cinematic possibilities	3	1
i enjoyed this movie a great deal	4	1
why do zombies move in slow motion	4	0
i had a hard <unk> some of the parts as tom is a guard on	5	0
as if hordes of attacking zombies and frequent <unk> of <unk> rain are n't bad	5	0
despite several fine action sequences	3	1
this watered-down <unk> has some genuinely funny moments	3	1
the fast pace and thoroughly enjoyable episodic narrative never fail to entertain	5	1
first spaceship on venus is something as strange as a dubbed american version of a	1	1
and brit <unk> is a truly talented actress who manages to make maggie feel compelling	4	1
voice actors included sandra bullock	5	1
it turns out to be a bigger theme than one movie can contain	5	0
really liked some of the extra features like the still gallery and the theater trailers	3	0
i usually own rent dvd 's but i would n't want to see them more	5	0
but there is really no intense nudity	3	0
all in all it 's worth watching once	3	1
campbell scott has directed a great screenplay and cast in one of the best movies	5	1
i think there are at least a couple of characters in the frame	4	1
i really did enjoy this movie when i was a child	3	0
aerial 's fascination over the statue of a man is admirable as well , and	5	1
generic movie that is totally forgettable but is certainly worth a rental	3	1
best buy and other stores are still selling the original release with the problems on	5	1
arnold schwarzenegger delivers a hell of a high-octane performance in this movie	5	1
for history buffs , i highly recommend it .	5	1
an absolutely flawless production that takes you back to a simpler	5	1
which he uses effectively to bring audiences well crafted movies rarely seen since the days	5	1
overall a solid film	4	1
firth had a little charm	3	1
telling the director how things should be	4	0
and if you do , do n't forget a magazine to keep you busy with	1	1
whose real name is eugene allen	5	0
i still cringe when he <unk> with evidence and aids his clients in their <unk>	5	0
fine acting and very excellent screen graphics	3	0
the nudity hits you like a ton of bricks and it is just plain stupid	1	1
there are some truly <unk> moments in this film ( the war <unk> store sequence	5	1
no laughs <unk> out of <unk>	1	1
a performer in many a cornball story is most effective in the role of drunken	5	1
the fresh extras on the additional discs are extremely well done and very watchable	4	1
other cast includes robert duvall	4	1
it works even better when a series of <unk> ghosts are added to the mix	4	1
mario is n't a very good actor	5	0
when mary <unk> meets a handsome supposed bachelor she is in shock when a few	5	0
<unk> since he <unk> to give alan a raise in the first film	5	1
they have no respect for anybody , least of all themselves .	5	0
while the picture quality has improved greatly over the dvd release i reviewed above it	2	0
but five minutes after start you 'll be laughing silly with the quality of their	5	1
my family has owned this film for several years already and i had n't watched	5	0
and he contributes a very capable score as well	4	1
the gruesome murders ( the thought of them is even more gruesome than what is	5	1
such as the video left in their room 4 so the victim couple can see	4	0
one thing is for sure .	4	0
right , jar jar <unk> ?	5	0
the director of this movie has brought us some excellent comedy movies in the past	1	0
with them appearing on all sides of him underneath a large red velvet sheet	4	0
in that both movies are essentially one long chase sequence involving a protagonist whose ingenuity	3	1
beyond the concept of the movie or the serious acting of jim carrey	4	0
stilted mumbling punctuated by gasps ) and startling revelations during <unk> at the <unk> <unk>	1	1
when wilder 's version and script had it in your face	5	1
i first saw this movie in an imax theatre presented in digital and 3d	4	1
excellent video and sound	4	1
these two are drawn together , and on a stormy night , a love affair	4	1
watch this funny <unk> may have done him wrong	4	1
they 're the same lessons that started out with the very first x-files episode	5	0
bill murray for best actor not sure why	2	1
the suspense will keep you on the edge of your seat	5	1
the technical production is often <unk>	3	1
94 mbpsaverage video bit rate , 23 .	2	1
the hauntings in this movie are a completely implausible muddle	3	0
so funny and has good characters	5	1
imagine a cross between the boss from hell characters ricky gervais plays as the museum	5	0
director ron howard assembled the best cast and crew	3	0
but does this film present a picture of this man	5	0
to the outsider the movie may be mildly entertaining	5	1
the special edition dvd is one of the best that i have ever seen	5	1
but decent acting from <unk> and virginia madsen help elevate it to maybe even a	2	1
his john newton was brilliant , as was <unk> garai 's barbara spooner .	3	0
the film is worth the price	3	0
set out to create a broad fantasy landscape and then fall back to romantic comedy	3	1
both a historical drama and a grim <unk>	5	1
writer director troy <unk> manages to <unk> practically the entire cast of the cult classic	4	1
the screen time in owned by a group of unknown young actors and snoop only	2	1
the cast is great	5	1
it 's worth the effort suffering through 5 or 6 painful episodes to get to	3	1
so tired of really fake cgi even if it is video game detailed looking liek	1	1
but molina and bellucci get cornered in those hackneyed roles	4	0
the film has the usual sarcasm and humor common to bond along with the necessary	4	1
and the music in the movie <unk> to <unk> up a little in some <unk>	4	1
a talented actor again wasted because of underwritten character	3	1
the battles were cool and the acting was not bad either	5	1
the adult actors	2	1
morgan spurlock first discusses the <unk> epidemic and then mentions how two girls were <unk>	4	0
so we realize that she 's far from a damsel in distress	3	1
better than imagined .	4	1
the acting is good	4	1
